Beat1,Beat2,Correlation
2113,1312,0.384347956
1934,225,0.38418073
225,1934,0.38418073
2112,1324,0.38408059
1324,2112,0.38408059
2131,1323,0.383553726
1323,2131,0.383553726
1312,2322,0.383429871
2322,1312,0.383429871
1331,2313,0.383264684
2313,1331,0.383264684
2313,1333,0.382186838
1333,2313,0.382186838
1333,2332,0.382157638
2332,1333,0.382157638
2113,233,0.381920533
233,2113,0.381920533
1914,121,0.38189078
121,1914,0.38189078
1323,2333,0.381512686
2333,1323,0.381512686
2111,1333,0.380656283
1333,2111,0.380656283
1313,2111,0.37999581
2111,1313,0.37999581
2131,1324,0.379346003
1324,2131,0.379346003
1232,1234,0.378435132
1234,1232,0.378435132
2122,1333,0.378042202
1333,2122,0.378042202
2323,1311,0.377883818
1311,2323,0.377883818
1211,1331,0.376641695
1331,1211,0.376641695
2333,1331,0.37644623
1331,2333,0.37644623
2112,1331,0.37512138
1331,2112,0.37512138
233,1311,0.374777747
1311,233,0.374777747
1313,2331,0.374567628
2331,1313,0.374567628
2133,1313,0.374297218
1313,2133,0.374297218
2331,911,0.37360483
911,2331,0.37360483
1312,132,0.372654245
132,1312,0.372654245
2132,1332,0.372553922
1332,2132,0.372553922
2111,1323,0.372208597
1323,2111,0.372208597
132,1331,0.371686869
1331,132,0.371686869
1323,2323,0.371544012
2323,1323,0.371544012
2113,1324,0.370632232
1324,2113,0.370632232
233,2322,0.369213907
2322,233,0.369213907
2324,1313,0.369104765
1313,2324,0.369104765
233,132,0.367994812
132,233,0.367994812
1915,1925,0.367688733
1925,1915,0.367688733
1915,1934,0.367203991
1934,1915,0.367203991
1925,121,0.367119276
121,1925,0.367119276
2313,1323,0.366786064
1323,2313,0.366786064
2322,1324,0.366605146
1324,2322,0.366605146
911,2124,0.366481059
2124,911,0.366481059
911,2333,0.366032379
2333,911,0.366032379
911,2122,0.365153503
2122,911,0.365153503
1331,2113,0.365128113
2113,1331,0.365128113
121,225,0.364777598
225,121,0.364777598
1333,2112,0.36442346
2112,1333,0.36442346
